user_id,age,gender,location,preferred_language,device_type,payment_method,auto_renew,plan_changes,subscription_start_date,subscription_end_date,months_using,total_revenue_inr,completion_rate,peak_hour_streaming,avg_genre_diversity,most_watched_genre,churn_risk_score,churned
user_0011,39,Female,Delhi,English,Desktop,Credit Card,True,0,2023-05-05 20:25:03.636280,2025-12-20 20:25:03.636280,32,34873.08,0.82,Night,4,Drama,0.6571309157989066,0
user_0012,18,Female,Kolkata,Hindi,Mobile,Net Banking,True,0,2024-11-09 20:25:03.636284,2026-10-30 20:25:03.636284,24,27065.19,0.99,Night,3,Thriller,0.8095289572474611,0
user_0013,61,Male,Chennai,Marathi,Laptop,Wallet,True,0,2024-02-10 20:25:03.636288,2024-12-06 20:25:03.636288,10,12464.8,0.94,Afternoon,5,Thriller,2.398508896950058,0
user_0014,31,Male,Bangalore,Spanish,Mobile,Wallet,True,1,2023-09-26 20:25:03.636292,2025-07-17 20:25:03.636292,22,23854.67,0.34,Morning,3,Horror,2.361135224985806,0
user_0015,64,Male,Chennai,English,Tablet,Credit Card,True,1,2022-07-03 20:25:03.636295,2025-04-18 20:25:03.636295,34,28729.12,0.37,Morning,7,Thriller,2.343365902223258,0
user_0016,26,Other,Bangalore,Hindi,Mobile,Debit Card,False,0,2023-04-13 20:25:03.636299,2026-12-23 20:25:03.636299,45,54921.59,0.65,Night,2,Drama,3.570786241461673,1
user_0017,45,Male,Bangalore,English,Tablet,Net Banking,True,0,2024-08-16 20:25:03.636303,2025-05-13 20:25:03.636303,9,10937.72,0.63,Night,7,Drama,2.5554853489487352,0
user_0018,18,Male,Delhi,Spanish,Tablet,Wallet,True,0,2024-08-13 20:25:03.636307,2025-09-07 20:25:03.636307,13,14618.96,0.3,Night,1,Drama,2.9322705494921144,0
user_0019,36,Female,Pune,Spanish,Laptop,Credit Card,False,0,2021-12-27 20:25:03.636311,2025-09-07 20:25:03.636311,45,56782.75,0.39,Afternoon,7,Comedy,4.491770719099473,1
user_0020,56,Female,Kolkata,Bengali,Smart TV,Wallet,True,0,2023-04-13 20:25:03.636314,2026-05-27 20:25:03.636314,38,39329.42,0.89,Afternoon,4,Action,1.510063407390305,0
user_0021,57,Female,Pune,Marathi,Tablet,UPI,True,0,2023-10-02 20:25:03.636318,2025-05-24 20:25:03.636318,20,24277.19,0.69,Evening,7,Romance,1.1057878226990645,0
user_0022,52,Male,Delhi,Hindi,Smart TV,Debit Card,True,0,2022-10-12 20:25:03.636321,2024-07-03 20:25:03.636321,21,21379.46,0.57,Morning,6,Romance,1.958778497165734,0
user_0023,56,Male,Bangalore,English,Laptop,UPI,True,1,2024-08-05 20:25:03.636324,2026-02-26 20:25:03.636324,19,20854.76,0.87,Evening,6,Romance,1.2346047763944383,0
user_0024,68,Male,Hyderabad,English,Laptop,UPI,False,0,2023-04-22 20:25:03.636328,2026-06-05 20:25:03.636328,38,39222.08,0.98,Morning,4,Romance,3.2881482872663965,0
user_0025,34,Male,Chennai,Bengali,Tablet,Credit Card,True,1,2024-03-19 20:25:03.636332,2024-05-18 20:25:03.636332,2,1686.14,0.83,Afternoon,4,Thriller,4.039251696272137,1
user_0026,53,Male,Pune,Tamil,Laptop,Credit Card,True,0,2021-10-12 20:25:03.636336,2023-05-05 20:25:03.636336,19,18112.97,0.52,Evening,3,Thriller,1.473544108193336,0
user_0027,47,Female,Delhi,English,Tablet,UPI,True,2,2022-07-03 20:25:03.636339,2023-11-25 20:25:03.636339,17,14994.52,0.36,Evening,2,Romance,3.5698146660353105,1
user_0028,66,Female,Bangalore,Hindi,Mobile,Debit Card,True,0,2023-10-10 20:25:03.636342,2026-08-25 20:25:03.636342,35,43575.86,0.95,Night,1,Drama,1.136651376508996,0
user_0029,25,Female,Kolkata,Marathi,Mobile,Net Banking,False,0,2024-02-18 20:25:03.636345,2026-03-09 20:25:03.636345,25,24242.71,0.75,Evening,7,Horror,2.357041729201292,0
user_0030,61,Female,Hyderabad,Tamil,Smart TV,UPI,True,1,2022-12-11 20:25:03.636349,2024-07-03 20:25:03.636349,19,16718.87,0.8,Night,6,Sci-Fi,0.5682232557591731,0
user_0031,64,Male,Mumbai,Bengali,Laptop,UPI,False,0,2023-12-01 20:25:03.636352,2024-10-26 20:25:03.636352,11,13695.57,0.46,Afternoon,2,Sci-Fi,4.51969094399557,1
user_0032,59,Male,Pune,Hindi,Mobile,Credit Card,True,1,2021-07-17 20:25:03.636356,2024-07-01 20:25:03.636356,36,30692.7,0.41,Night,4,Action,1.5991305577637736,0
user_0033,38,Female,Pune,Spanish,Laptop,Debit Card,True,0,2024-02-02 20:25:03.636360,2026-02-21 20:25:03.636360,25,30726.04,0.94,Evening,3,Action,1.1241797341496862,0
user_0034,59,Female,Ahmedabad,Marathi,Mobile,Wallet,True,1,2022-02-24 20:25:03.636364,2024-04-14 20:25:03.636364,26,24716.15,0.3,Afternoon,6,Sci-Fi,2.3726529806784886,0
user_0035,30,Female,Pune,Hindi,Tablet,Wallet,False,0,2023-10-19 20:25:03.636367,2026-09-03 20:25:03.636367,35,33628.34,0.94,Evening,2,Romance,3.222288393194463,0
user_0036,42,Other,Bangalore,Bengali,Tablet,Net Banking,True,0,2024-10-20 20:25:03.636371,2026-08-11 20:25:03.636371,22,22168.65,0.42,Evening,1,Romance,2.248747978815482,0
user_0037,49,Female,Hyderabad,English,Tablet,Debit Card,True,3,2021-10-09 20:25:03.636375,2023-03-03 20:25:03.636375,17,16890.15,0.92,Evening,3,Documentary,2.0845496691731267,0
user_0038,69,Male,Kolkata,Telugu,Smart TV,UPI,False,1,2022-07-16 20:25:03.636378,2022-10-14 20:25:03.636378,3,2915.81,0.4,Evening,7,Horror,4.8200799172230395,1
user_0039,69,Male,Hyderabad,English,Mobile,Credit Card,True,1,2022-10-16 20:25:03.636382,2024-12-04 20:25:03.636382,26,25684.08,0.53,Night,3,Action,1.212729609729621,0
user_0040,18,Male,Mumbai,Spanish,Smart TV,Debit Card,False,0,2023-11-07 20:25:03.636385,2026-09-22 20:25:03.636385,35,35855.64,0.31,Night,7,Drama,3.638675040591398,1
user_0041,43,Female,Kolkata,Marathi,Smart TV,Credit Card,True,0,2022-03-03 20:25:03.636389,2023-01-27 20:25:03.636389,11,9716.87,0.63,Evening,6,Drama,2.2993278176380594,0
user_0042,69,Male,Bangalore,Marathi,Laptop,Net Banking,True,0,2022-01-28 20:25:03.636394,2025-02-11 20:25:03.636394,37,38638.15,0.99,Morning,1,Romance,2.111137253036062,0
user_0043,55,Male,Chennai,Telugu,Laptop,Credit Card,True,1,2023-05-07 20:25:03.636397,2026-10-18 20:25:03.636397,42,35051.33,0.92,Afternoon,3,Action,1.048052402818091,0
user_0044,37,Male,Ahmedabad,Spanish,Tablet,Debit Card,True,1,2022-07-16 20:25:03.636401,2023-10-09 20:25:03.636401,15,14919.83,0.9,Night,4,Drama,0.6783880899588677,0
user_0045,59,Female,Chennai,Spanish,Smart TV,Net Banking,True,0,2024-01-06 20:25:03.636405,2027-01-20 20:25:03.636405,37,32665.35,0.47,Evening,3,Thriller,2.121275595890608,0
user_0046,59,Male,Pune,Spanish,Laptop,Net Banking,True,1,2022-02-28 20:25:03.636408,2024-01-19 20:25:03.636408,23,22595.8,0.85,Afternoon,5,Comedy,2.153820987327882,0
user_0047,63,Female,Delhi,Marathi,Smart TV,UPI,True,0,2024-05-08 20:25:03.636412,2025-11-29 20:25:03.636412,19,22512.22,0.59,Afternoon,5,Drama,2.3115504074431357,0
user_0048,22,Female,Delhi,Bengali,Tablet,UPI,False,0,2024-06-04 20:25:03.636415,2026-04-25 20:25:03.636415,23,23436.9,0.44,Afternoon,3,Action,4.2290493534712565,1
user_0049,47,Female,Pune,Hindi,Smart TV,UPI,False,0,2024-03-16 20:25:03.636419,2026-02-04 20:25:03.636419,23,26081.43,0.36,Evening,1,Sci-Fi,4.037331269749016,1
user_0050,56,Female,Pune,Tamil,Smart TV,Debit Card,False,0,2024-07-17 20:25:03.636422,2026-10-05 20:25:03.636422,27,31854.97,0.99,Night,3,Thriller,2.0109725337030038,0
user_0051,37,Female,Pune,Telugu,Laptop,Wallet,True,1,2022-01-15 20:25:03.636426,2022-02-14 20:25:03.636426,1,1063.27,0.82,Evening,5,Action,3.977509292910799,1
user_0052,67,Female,Hyderabad,Telugu,Laptop,Net Banking,True,0,2023-05-06 20:25:03.636429,2027-01-15 20:25:03.636429,45,49939.7,0.4,Evening,4,Romance,1.5309998311824573,0
user_0053,61,Male,Ahmedabad,Marathi,Smart TV,UPI,False,0,2022-02-17 20:25:03.636433,2023-10-10 20:25:03.636433,20,24276.58,0.89,Afternoon,6,Romance,2.881642123384707,0
user_0054,66,Female,Delhi,Tamil,Laptop,Credit Card,True,0,2024-09-02 20:25:03.636437,2027-02-19 20:25:03.636437,30,26329.75,0.38,Afternoon,6,Sci-Fi,2.9882451937131,0
user_0055,56,Male,Ahmedabad,Bengali,Laptop,Net Banking,False,0,2022-05-04 20:25:03.636441,2023-06-28 20:25:03.636441,14,13664.52,0.75,Morning,6,Drama,3.635814551757507,1
user_0056,19,Male,Delhi,Telugu,Desktop,UPI,False,1,2022-11-24 20:25:03.636445,2025-05-12 20:25:03.636445,30,30918.89,0.61,Evening,3,Drama,2.8667812456004587,0
user_0057,33,Male,Ahmedabad,Spanish,Laptop,UPI,False,0,2024-06-20 20:25:03.636448,2028-04-30 20:25:03.636448,47,50035.79,0.48,Morning,3,Romance,4.375736864822605,1
user_0058,59,Male,Chennai,Spanish,Laptop,Wallet,False,1,2024-04-24 20:25:03.636452,2027-12-05 20:25:03.636452,44,47070.62,0.73,Night,7,Horror,3.0698857481649777,0
user_0059,52,Female,Kolkata,Telugu,Mobile,Wallet,False,1,2024-05-13 20:25:03.636455,2026-11-29 20:25:03.636455,31,34676.72,0.89,Afternoon,2,Action,3.434802053763086,0
user_0060,60,Female,Ahmedabad,Hindi,Mobile,Net Banking,True,1,2022-09-07 20:25:03.636469,2026-03-20 20:25:03.636469,43,43239.23,0.43,Afternoon,7,Sci-Fi,2.8463783466699812,0
user_0061,69,Male,Mumbai,Spanish,Mobile,Net Banking,False,0,2021-07-15 20:25:03.636472,2023-02-05 20:25:03.636472,19,22881.1,0.54,Evening,4,Drama,2.7561815500565467,0
user_0062,58,Male,Ahmedabad,Tamil,Desktop,Debit Card,True,1,2022-07-05 20:25:03.636476,2023-07-30 20:25:03.636476,13,13097.3,0.65,Evening,3,Horror,1.0255273764530357,0
user_0063,24,Female,Delhi,Marathi,Laptop,Credit Card,True,0,2023-12-08 20:25:03.636479,2025-12-27 20:25:03.636479,25,23048.67,0.88,Night,6,Drama,0.5758867607035297,0
user_0064,51,Female,Bangalore,Tamil,Smart TV,Debit Card,False,3,2023-09-29 20:25:03.636483,2023-12-28 20:25:03.636483,3,3014.56,0.88,Evening,7,Action,5.470370796720142,1
user_0065,29,Female,Pune,Bengali,Desktop,Wallet,True,1,2023-09-13 20:25:03.636487,2023-12-12 20:25:03.636487,3,3280.64,0.93,Afternoon,2,Drama,4.5143109654234275,1
user_0066,32,Female,Hyderabad,Telugu,Tablet,Credit Card,True,0,2023-12-23 20:25:03.636491,2024-03-22 20:25:03.636491,3,3678.79,0.38,Evening,2,Comedy,4.258959505817273,1
user_0067,43,Female,Bangalore,Spanish,Laptop,UPI,True,0,2021-12-04 20:25:03.636495,2025-05-17 20:25:03.636495,42,42912.41,0.91,Afternoon,7,Thriller,1.8428651758433379,0
user_0068,25,Female,Pune,English,Laptop,Debit Card,True,0,2021-07-07 20:25:03.636499,2022-09-30 20:25:03.636499,15,13317.06,0.31,Afternoon,1,Drama,3.4056340276258155,0
user_0069,60,Female,Hyderabad,Hindi,Desktop,UPI,False,0,2022-12-05 20:25:03.636502,2024-09-25 20:25:03.636502,22,23662.88,0.8,Evening,4,Comedy,2.2475395264741262,0
user_0070,33,Female,Kolkata,Tamil,Tablet,Wallet,True,1,2022-04-17 20:25:03.636506,2023-07-11 20:25:03.636506,15,11905.08,0.45,Night,4,Drama,2.539364226326472,0
user_0071,18,Male,Pune,Spanish,Desktop,Debit Card,True,1,2024-06-13 20:25:03.636510,2025-04-09 20:25:03.636510,10,11380.78,0.87,Evening,2,Thriller,3.0356481358766056,0
user_0072,25,Male,Kolkata,Telugu,Smart TV,Wallet,True,0,2023-02-04 20:25:03.636513,2025-04-24 20:25:03.636513,27,33967.32,0.34,Night,4,Comedy,1.6019234809351977,0
user_0073,54,Female,Bangalore,Telugu,Mobile,Debit Card,True,0,2023-02-27 20:25:03.636516,2023-07-27 20:25:03.636516,5,5377.11,0.85,Afternoon,1,Horror,4.1611684760917,1
user_0074,47,Female,Hyderabad,Bengali,Tablet,UPI,True,0,2022-11-13 20:25:03.636520,2023-10-09 20:25:03.636520,11,12923.34,0.74,Evening,1,Documentary,1.8330016356029855,0
user_0075,59,Male,Hyderabad,Spanish,Desktop,Wallet,True,0,2023-01-13 20:25:03.636523,2023-10-10 20:25:03.636523,9,10200.93,0.62,Morning,7,Drama,3.7043075974987714,1
user_0076,42,Female,Ahmedabad,Marathi,Smart TV,Debit Card,False,0,2022-01-04 20:25:03.636527,2023-09-26 20:25:03.636527,21,22674.61,0.98,Afternoon,5,Thriller,3.3252297111958464,0
user_0077,33,Other,Mumbai,Hindi,Smart TV,Credit Card,True,0,2023-06-11 20:25:03.636530,2026-06-25 20:25:03.636530,37,41135.24,0.95,Evening,4,Thriller,0.7311841060817633,0
user_0078,24,Male,Delhi,Marathi,Laptop,Credit Card,True,2,2024-01-22 20:25:03.636536,2026-10-08 20:25:03.636536,33,37264.14,0.62,Evening,5,Comedy,2.7089635847279583,0
user_0079,29,Male,Chennai,Telugu,Smart TV,UPI,True,1,2021-11-12 20:25:03.636539,2022-08-09 20:25:03.636539,9,8891.84,0.97,Morning,7,Comedy,3.0095661513092553,0
user_0080,25,Female,Kolkata,Telugu,Laptop,UPI,False,0,2021-11-03 20:25:03.636542,2025-04-16 20:25:03.636542,42,47369.09,0.46,Night,2,Comedy,3.5900728683352847,1
user_0081,30,Male,Delhi,English,Desktop,Credit Card,False,0,2024-08-16 20:25:03.636546,2025-09-10 20:25:03.636546,13,13745.3,0.5,Evening,5,Romance,3.639785895373901,1
user_0082,29,Male,Ahmedabad,Bengali,Smart TV,Wallet,True,1,2022-03-14 20:25:03.636549,2025-10-24 20:25:03.636549,44,38102.81,0.85,Afternoon,3,Sci-Fi,1.3029217861785534,0
user_0083,68,Other,Kolkata,Hindi,Tablet,UPI,False,1,2023-08-11 20:25:03.636552,2026-10-24 20:25:03.636552,39,42376.71,0.61,Afternoon,4,Drama,3.6464384231183593,1
user_0084,54,Female,Pune,English,Desktop,Net Banking,False,0,2022-06-18 20:25:03.636555,2026-02-27 20:25:03.636555,45,46560.77,0.36,Night,2,Action,4.302610211001641,1
user_0085,69,Female,Delhi,Bengali,Mobile,Wallet,True,0,2022-01-14 20:25:03.636559,2025-06-27 20:25:03.636559,42,37527.94,0.48,Night,6,Action,1.6893312706672732,0
user_0086,48,Male,Ahmedabad,Hindi,Mobile,Wallet,False,0,2022-07-30 20:25:03.636562,2023-07-25 20:25:03.636562,12,14692.16,0.47,Night,1,Drama,4.068530586532462,1
user_0087,67,Male,Bangalore,Bengali,Mobile,Debit Card,True,0,2022-05-29 20:25:03.636572,2025-08-11 20:25:03.636572,39,37028.18,0.8,Evening,6,Action,0.9954912688437152,0
user_0088,46,Female,Chennai,Marathi,Smart TV,Credit Card,True,1,2023-01-22 20:25:03.636575,2023-04-22 20:25:03.636575,3,3208.3,0.42,Evening,2,Action,4.067555752519049,1
user_0089,25,Female,Chennai,Spanish,Tablet,UPI,False,1,2023-10-09 20:25:03.636579,2025-11-27 20:25:03.636579,26,24395.46,0.78,Afternoon,3,Romance,3.2939674576023332,0
user_0090,46,Male,Chennai,Bengali,Laptop,Net Banking,True,0,2023-06-03 20:25:03.636582,2026-12-14 20:25:03.636582,43,46013.04,1.0,Morning,4,Drama,1.510319113577165,0
user_0091,27,Female,Kolkata,Hindi,Tablet,Credit Card,True,1,2023-03-07 20:25:03.636586,2026-11-16 20:25:03.636586,45,49199.82,0.59,Night,4,Action,1.6319510284705887,0
user_0092,30,Female,Delhi,Marathi,Laptop,Net Banking,True,0,2023-03-13 20:25:03.636589,2026-05-26 20:25:03.636589,39,44685.18,0.91,Morning,7,Thriller,2.053371498548378,0
user_0093,31,Female,Hyderabad,English,Laptop,UPI,False,0,2023-08-11 20:25:03.636592,2025-08-30 20:25:03.636592,25,26222.26,0.47,Evening,7,Sci-Fi,3.1364708928205007,0
user_0094,69,Female,Kolkata,Bengali,Mobile,UPI,True,0,2023-06-17 20:25:03.636596,2026-03-03 20:25:03.636596,33,34992.45,0.32,Night,6,Thriller,2.2245917046695918,0
user_0095,63,Male,Mumbai,English,Mobile,Debit Card,False,0,2024-06-29 20:25:03.636600,2027-07-14 20:25:03.636600,37,37245.48,0.91,Afternoon,1,Romance,4.237298459448429,1
user_0096,34,Female,Mumbai,Marathi,Laptop,Net Banking,True,1,2024-05-16 20:25:03.636603,2027-01-31 20:25:03.636603,33,26072.87,0.48,Night,5,Horror,1.7150413344457336,0
user_0097,20,Female,Ahmedabad,Bengali,Smart TV,UPI,False,0,2023-08-13 20:25:03.636607,2023-12-11 20:25:03.636607,4,4461.04,0.65,Afternoon,4,Romance,5.638229476636564,1
user_0098,28,Male,Kolkata,Tamil,Desktop,Debit Card,True,0,2022-03-12 20:25:03.636610,2022-08-09 20:25:03.636610,5,5531.58,0.89,Night,3,Comedy,2.1470761002915775,0
user_0099,62,Male,Mumbai,Marathi,Smart TV,Credit Card,True,0,2024-08-01 20:25:03.636614,2027-10-15 20:25:03.636614,39,39054.69,0.4,Morning,2,Comedy,3.2606289566673765,0
user_0100,42,Male,Hyderabad,Tamil,Mobile,Wallet,False,0,2022-02-20 20:25:03.636617,2025-02-04 20:25:03.636617,36,36265.25,0.36,Night,3,Action,3.2074140273634826,0
user_0101,46,Female,Bangalore,Bengali,Desktop,Credit Card,True,0,2024-10-22 20:25:03.636621,2027-10-07 20:25:03.636621,36,33861.8,0.85,Night,1,Thriller,1.3559721875077,0
user_0102,67,Male,Ahmedabad,Tamil,Tablet,Credit Card,True,0,2022-12-30 20:25:03.636624,2026-11-09 20:25:03.636624,47,58494.45,0.69,Afternoon,6,Romance,2.299699897430034,0
user_0103,22,Male,Bangalore,Spanish,Mobile,Debit Card,True,0,2023-08-31 20:25:03.636628,2024-11-23 20:25:03.636628,15,16417.55,0.91,Night,3,Romance,0.5178782852722618,0
user_0104,22,Male,Delhi,Hindi,Laptop,Net Banking,True,0,2021-06-16 20:25:03.636631,2024-04-01 20:25:03.636631,34,40138.8,0.67,Evening,3,Drama,1.0419123788750708,0
user_0105,22,Female,Chennai,Telugu,Laptop,UPI,True,0,2024-03-28 20:25:03.636634,2027-06-11 20:25:03.636634,39,41387.9,0.63,Afternoon,1,Thriller,2.3533079472124747,0
user_0106,69,Male,Delhi,Marathi,Desktop,Wallet,True,0,2021-08-27 20:25:03.636638,2024-09-10 20:25:03.636638,37,37890.11,0.33,Morning,7,Drama,3.1665274378951334,0
user_0107,36,Male,Ahmedabad,Spanish,Mobile,Credit Card,True,0,2022-01-23 20:25:03.636641,2023-11-14 20:25:03.636641,22,23463.43,0.87,Night,2,Horror,1.286808718777768,0
user_0108,34,Male,Ahmedabad,Spanish,Smart TV,Net Banking,True,1,2021-11-14 20:25:03.636644,2023-06-07 20:25:03.636644,19,16924.01,0.8,Night,5,Comedy,1.3719571038868694,0
user_0109,20,Female,Chennai,Tamil,Laptop,Wallet,True,0,2024-02-27 20:25:03.636647,2026-09-14 20:25:03.636647,31,29160.58,0.51,Morning,4,Comedy,2.022243013434389,0
user_0110,42,Male,Ahmedabad,Telugu,Laptop,UPI,True,2,2023-10-29 20:25:03.636651,2024-10-23 20:25:03.636651,12,11621.54,0.4,Night,3,Drama,3.8073220503957104,1
user_0111,48,Male,Mumbai,Marathi,Mobile,UPI,True,0,2022-08-12 20:25:03.636655,2024-03-04 20:25:03.636655,19,23114.61,0.32,Night,4,Thriller,1.9929392755386348,0
user_0112,60,Female,Bangalore,Hindi,Tablet,Debit Card,False,0,2023-02-15 20:25:03.636657,2026-04-30 20:25:03.636657,39,47962.68,0.39,Night,2,Horror,3.7709979466692203,1
user_0113,39,Male,Mumbai,English,Laptop,Credit Card,True,0,2021-09-30 20:25:03.636660,2021-12-29 20:25:03.636660,3,3640.0,0.54,Evening,7,Drama,3.5370974585212602,1
user_0114,45,Female,Delhi,Tamil,Tablet,UPI,False,0,2023-02-08 20:25:03.636664,2023-06-08 20:25:03.636664,4,4336.03,0.79,Evening,3,Horror,4.174725593958952,1
user_0115,36,Female,Delhi,Tamil,Mobile,Wallet,True,0,2023-12-23 20:25:03.636668,2025-01-16 20:25:03.636668,13,13440.39,0.48,Afternoon,3,Action,2.7658211539221584,0
user_0116,37,Male,Mumbai,English,Smart TV,Net Banking,True,1,2024-03-19 20:25:03.636671,2027-08-01 20:25:03.636671,41,45942.19,0.37,Night,4,Thriller,1.6496696940312932,0
user_0117,25,Female,Ahmedabad,Hindi,Desktop,UPI,True,2,2023-07-05 20:25:03.636674,2026-12-16 20:25:03.636674,42,35153.18,0.93,Night,2,Action,2.1238717913139107,0
user_0118,51,Male,Delhi,Tamil,Smart TV,Wallet,True,0,2023-04-08 20:25:03.636677,2027-02-16 20:25:03.636677,47,42643.46,0.68,Afternoon,6,Horror,2.492135337881442,0
user_0119,29,Female,Chennai,Bengali,Laptop,Wallet,True,0,2024-03-24 20:25:03.636680,2024-06-22 20:25:03.636680,3,3444.1,0.33,Evening,1,Romance,4.03173801636326,1
user_0120,35,Male,Ahmedabad,Telugu,Smart TV,Net Banking,True,0,2024-03-06 20:25:03.636684,2027-11-16 20:25:03.636684,45,45715.03,0.88,Evening,6,Thriller,1.304341182750264,0
user_0121,45,Female,Kolkata,Marathi,Desktop,Net Banking,False,0,2023-10-23 20:25:03.636688,2025-12-11 20:25:03.636688,26,23389.51,0.45,Night,4,Comedy,3.047596579203094,0
user_0122,37,Male,Bangalore,Bengali,Smart TV,Net Banking,True,0,2021-12-02 20:25:03.636691,2025-03-16 20:25:03.636691,40,50546.17,0.72,Evening,4,Comedy,0.9823872843747868,0
user_0123,64,Male,Chennai,Marathi,Smart TV,UPI,False,0,2024-10-14 20:25:03.636695,2027-12-28 20:25:03.636695,39,48793.62,0.99,Evening,1,Comedy,2.777474218172645,0
user_0124,49,Female,Chennai,Tamil,Smart TV,Debit Card,True,1,2024-09-04 20:25:03.636698,2025-08-30 20:25:03.636698,12,9963.71,0.69,Afternoon,6,Drama,3.0174461853151158,0
user_0125,53,Female,Ahmedabad,Hindi,Smart TV,UPI,False,1,2022-02-23 20:25:03.636702,2024-01-14 20:25:03.636702,23,18785.86,0.59,Evening,4,Romance,2.6984409892295735,0
user_0126,53,Female,Mumbai,Telugu,Laptop,UPI,True,0,2024-07-09 20:25:03.636705,2026-08-28 20:25:03.636705,26,27180.46,1.0,Afternoon,6,Horror,1.4482718654522238,0
user_0127,23,Male,Kolkata,Spanish,Tablet,UPI,False,2,2021-12-31 20:25:03.636709,2025-02-13 20:25:03.636709,38,33720.63,0.66,Evening,4,Romance,3.588796375838465,1
user_0128,27,Male,Delhi,Hindi,Smart TV,Credit Card,True,1,2024-01-23 20:25:03.636712,2024-12-18 20:25:03.636712,11,10875.66,0.98,Night,1,Comedy,2.548057783678418,0
user_0129,26,Male,Bangalore,Telugu,Laptop,UPI,True,0,2024-08-07 20:25:03.636716,2028-03-19 20:25:03.636716,44,51093.67,0.52,Evening,7,Action,1.987217930788748,0
user_0130,21,Female,Pune,English,Mobile,UPI,True,1,2023-12-08 20:25:03.636720,2027-05-21 20:25:03.636720,42,45145.17,0.88,Afternoon,2,Action,2.1168165223995707,0
user_0131,30,Male,Bangalore,Tamil,Laptop,Wallet,True,2,2024-06-03 20:25:03.636723,2026-08-22 20:25:03.636723,27,27588.12,0.37,Night,2,Sci-Fi,3.2140484456786123,0
user_0132,30,Male,Hyderabad,Hindi,Mobile,UPI,True,0,2024-09-10 20:25:03.636726,2025-11-04 20:25:03.636726,14,16231.93,0.8,Evening,3,Romance,0.7119680505611636,0
user_0133,44,Male,Pune,Tamil,Desktop,Net Banking,True,0,2023-12-13 20:25:03.636729,2025-05-06 20:25:03.636729,17,19244.9,0.31,Night,5,Action,1.854887317930988,0
user_0134,62,Female,Delhi,Hindi,Tablet,UPI,False,1,2023-02-07 20:25:03.636733,2024-05-02 20:25:03.636733,15,16141.99,0.99,Morning,6,Sci-Fi,3.3867834514154636,0
user_0135,50,Female,Mumbai,Tamil,Desktop,Wallet,True,0,2023-03-13 20:25:03.636736,2026-07-25 20:25:03.636736,41,41688.36,0.36,Afternoon,7,Horror,3.0661244707464816,0
user_0136,26,Male,Pune,Telugu,Mobile,Debit Card,False,1,2024-02-23 20:25:03.636740,2027-11-04 20:25:03.636740,45,36740.85,0.65,Afternoon,5,Romance,3.870242829545427,1
user_0137,44,Male,Delhi,Telugu,Laptop,Net Banking,True,0,2024-01-17 20:25:03.636743,2024-05-16 20:25:03.636743,4,4372.55,0.8,Afternoon,5,Action,3.873957286361145,1
user_0138,56,Female,Mumbai,Telugu,Laptop,Net Banking,True,1,2023-10-21 20:25:03.636746,2025-10-10 20:25:03.636746,24,26549.19,0.58,Morning,6,Romance,1.8389135594336108,0
